"phenotype";"term";"estimate";"std.error";"statistic";"p.value"
"smkinit";"batchb05";-2,55853319135385e-08;8,38722059909601e-09;-3,05051376808858;0,00228601782951651
"smkinit";"batchb06";-1,74745332147084e-08;7,1286716831362e-09;-2,45130285015743;0,0142383195244591
"smkinit";"batchb07";-7,590623685747e-09;9,62498438912973e-09;-0,788637506188551;0,430328641842364
"smkinit";"batchb08";1,10984535911298e-08;5,02719118509304e-09;2,20768480499402;0,0272719850526979
"smkinit";"batchb09";1,08587564604109e-08;5,02283743429759e-09;2,16187694753244;0,0306336550527666
"smkinit";"batchb10";1,93867550948272e-09;7,44635025126462e-09;0,260352447046588;0,794593278832037
"smkinit";"batchb11";-5,53924511758448e-09;1,34127691276317e-08;-0,412982961599858;0,679621341437527
"smkinit";"batchb12";2,5718975791379e-08;5,2122588101416e-09;4,93432439335842;8,07557589679042e-07
"smkinit";"batchb15";2,20304612464606e-08;8,63947569794438e-09;2,54997664403435;0,0107767598025768
"smkinit";"batchb16";3,07697841830454e-08;5,24316071904893e-09;5,86855635976514;4,4311155063492e-09
"smkinit";"batchb17";1,65619945111742e-08;8,05839917431867e-09;2,05524622855066;0,0398617961658407
"smkinit";"batchb18";-1,10354714384975e-07;4,91826445450292e-08;-2,24377349786346;0,024852501763187
