"Sample","Time point","Duration","Model","Regression","Dependent variable","Level","Independent variable","Estimate","95% CI low","95% CI up","SE","z score","p value"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","pc6",0.72,0.46,1.13,0.23,-1.42,"0.15"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb02",0.31,0,20042120,9.17,-0.13,"0.90"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb03",12.52,0.12,1269.99,2.36,1.07,"0.28"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb04",20.63,0.26,1621.86,2.23,1.36,"0.17"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb05",0.39,0,217250.1,6.75,-0.14,"0.89"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb06",26.37,0.33,2104.92,2.23,1.46,"0.14"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb07",0.25,0,172085700,10.37,-0.13,"0.90"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb08",49.34,0.72,3359.51,2.15,1.81,"0.07"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb09",42.99,0.63,2933.48,2.15,1.75,"0.08"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb10",0.35,0,112985.9,6.48,-0.16,"0.87"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb11",0.36,0,1426043000,11.28,-0.09,"0.93"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb12",36.73,0.54,2520.1,2.16,1.67,"0.09"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb15",18.2,0.18,1846.31,2.36,1.23,"0.22"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb16",1.88,0.02,208.01,2.4,0.26,"0.79"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb17",14.19,0.14,1446.75,2.36,1.12,"0.26"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb18",0.34,0,2.456277e+32,38.6,-0.03,"0.98"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb19",0.3,0,74073990,9.85,-0.12,"0.90"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb20",0.23,0,380750400,10.82,-0.13,"0.89"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb21",80.39,1.18,5477.95,2.15,2.04,"0.04"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Trans man","batchb24",107.98,1.58,7364.15,2.15,2.17,"0.03"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","Intercept",0.89,0.82,0.96,0.04,-2.86,"0.004"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","SCORE",1,1,1,0,-6448.29,"0.00e+00"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc1",0.96,0.94,0.99,0.01,-3,"0.003"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc2",1.02,0.98,1.06,0.02,0.84,"0.40"
